,Unnamed: 0_x,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,static_engagement_min,static_engagement_max,static_hits_zero,in_town_engagement,state,full_state,region,division,relative_frequency,static_hits_100,metro_area_name,Unnamed: 0_y,theatre_near_me,shows_near_me
36,86,kinky boots (tour),US-CA-803,13.0,14.538461538461535,17.064935064935064,4.0,100.0,1,75.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
37,89,la cage aux folles (tour),US-CA-803,26.0,10.48,9.609523809523813,9.0,43.0,1,32.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
38,90,legally blonde (tour),US-CA-803,47.0,20.68,25.45454545454545,7.0,87.0,1,40.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
39,93,little women (tour),US-CA-803,75.0,33.230769230769226,21.473684210526315,30.0,64.0,1,30.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
40,97,love letters (tour),US-CA-803,52.0,51.769230769230774,51.35714285714285,24.0,100.0,0,58.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
41,98,love never dies (tour),US-CA-803,6.0,6.333333333333332,6.754098360655737,3.0,100.0,0,25.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
42,99,mary poppins (tour),US-CA-803,15.0,19.483870967741925,16.74909090909091,3.0,100.0,1,28.75,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
43,104,million dollar quartet (tour),US-CA-803,40.0,24.48,14.709677419354836,10.0,81.0,1,92.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
44,107,miss saigon (tour),US-CA-803,8.0,7.9230769230769225,7.878504672897196,3.0,47.0,1,91.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
45,109,movin' out (tour),US-CA-803,0.0,9.923076923076923,10.078125,22.0,100.0,1,11.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
46,112,newsies the musical (tour),US-CA-803,0.0,9.23076923076923,10.207920792079207,31.0,100.0,1,32.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
47,113,once (tour),US-CA-803,43.0,46.615384615384606,45.46902654867257,30.0,100.0,0,45.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
48,117,peter and the starcatcher (tour),US-CA-803,10.0,6.615384615384616,6.916666666666668,9.0,32.0,1,82.83333333333333,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
49,119,pippin (tour),US-CA-803,24.0,15.807692307692307,18.119402985074625,5.0,100.0,1,54.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
50,122,rock of ages (tour),US-CA-803,0.0,10.36,12.046511627906975,6.0,100.0,1,79.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
51,124,rodgers + hammerstein's cinderella (tour),US-CA-803,9.0,10.76,15.273333333333332,9.0,100.0,0,13.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
52,127,sister act (tour),US-CA-803,32.0,25.04,23.429906542056074,8.0,100.0,1,68.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
53,128,south pacific (tour),US-CA-803,15.0,28.19230769230769,28.66101694915255,8.0,100.0,1,44.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
54,130,spring awakening (tour),US-CA-803,21.0,9.307692307692307,19.07857142857143,7.0,94.0,1,55.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
55,134,sweeney todd (tour),US-CA-803,10.0,1.5769230769230769,7.2568807339449535,2.0,100.0,1,15.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
56,135,sweet charity (tour),US-CA-803,0.0,13.230769230769232,11.522388059701493,19.0,100.0,1,10.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
57,139,the 39 steps (tour),US-CA-803,0.0,0.0,10.075471698113207,39.0,100.0,1,19.33333333333333,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
58,141,the addams family (tour),US-CA-803,25.0,17.615384615384613,22.409448818897637,8.0,100.0,1,29.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
59,143,the book of mormon,US-CA-803,17.0,19.161290322580644,18.51724137931034,6.0,100.0,0,13.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
60,146,the book of mormon (tour: jumamosi),US-CA-803,11.0,18.258064516129032,19.370689655172416,5.0,100.0,0,14.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
61,151,the book of mormon (tour: latter day),US-CA-803,24.0,18.258064516129032,22.157894736842106,7.0,100.0,0,21.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
62,155,the color purple (tour),US-CA-803,57.0,33.74193548387097,32.34705882352941,9.0,100.0,1,16.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
63,159,the curious incident of the dog in the night-time,US-CA-803,0.0,15.038461538461535,11.089552238805974,24.0,96.0,1,54.83333333333334,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
64,161,the drowsy chaperone (tour),US-CA-803,0.0,7.96,8.188118811881187,49.0,78.0,1,63.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
65,163,the gershwins' porgy and bess (tour),US-CA-803,15.0,11.769230769230768,9.895238095238096,6.0,51.0,1,72.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
66,165,the humans (tour),US-CA-803,70.0,64.8,63.42201834862385,24.0,100.0,0,73.66666666666667,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
67,167,the king and i,US-CA-803,22.0,21.423076923076927,18.917808219178077,6.0,66.0,1,79.66666666666667,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
68,170,the light in the piazza (tour),US-CA-803,0.0,18.92,14.10752688172043,22.0,88.0,1,27.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
69,171,the play that goes wrong (tour),US-CA-803,9.0,4.64,7.3047619047619055,8.0,53.0,1,79.4,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
70,172,twelve angry men (tour),US-CA-803,0.0,3.8461538461538463,8.9,23.0,75.0,1,34.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
71,174,waitress (tour),US-CA-803,33.0,31.5,31.191666666666666,15.0,100.0,0,63.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
72,176,war horse (tour),US-CA-803,3.0,3.4230769230769242,10.594936708860759,2.0,100.0,0,6.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
73,178,west side story (tour),US-CA-803,34.0,24.92307692307693,23.078260869565216,7.0,82.0,1,28.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
74,180,wicked (tour: emerald city),US-CA-803,30.0,27.66666666666667,40.626609442060094,15.0,100.0,0,43.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
75,184,wicked (tour: los angeles),US-CA-803,38.0,25.0,43.58823529411765,27.0,100.0,0,66.04347826086956,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
76,185,wicked (tour: munchkinland),US-CA-803,35.0,29.0,38.09090909090909,19.0,100.0,0,20.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
77,189,xanadu (tour),US-CA-803,82.0,33.88,28.33333333333333,14.0,100.0,1,35.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
78,191,young frankenstein (tour),US-CA-803,43.0,33.42307692307692,19.725925925925925,14.0,99.0,1,50.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
79,1,a bronx tale (tour),US-CA-807,0.0,24.26923076923077,19.23529411764705,51.0,64.0,1,74.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
80,3,a chorus line (tour),US-CA-807,0.0,28.884615384615394,5.833333333333332,11.0,41.0,1,23.66666666666667,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
81,6,aladdin (tour),US-CA-807,21.0,18.451612903225808,21.53333333333333,6.0,91.0,0,63.83333333333334,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
82,9,all shook up (tour),US-CA-807,0.0,16.615384615384613,5.815533980582522,26.0,70.0,1,41.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
83,13,american idiot (tour),US-CA-807,19.0,10.2,8.969696969696969,4.0,28.0,1,80.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
84,15,an american in paris,US-CA-807,10.0,9.44,8.097345132743364,8.0,52.0,1,83.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
85,20,avenue q (tour),US-CA-807,0.0,10.153846153846152,9.189655172413792,5.0,54.0,1,80.25,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
86,23,blithe spirit (tour),US-CA-807,27.0,11.2,7.014705882352941,3.0,100.0,1,14.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
87,27,brooklyn (tour),US-CA-807,68.0,53.92307692307693,53.025,19.0,100.0,0,57.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
88,29,cats (tour),US-CA-807,82.0,76.53846153846153,78.53333333333333,66.0,100.0,0,86.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
89,36,come from away (tour),US-CA-807,7.0,4.68,9.022222222222222,3.0,100.0,1,7.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
90,38,dear evan hansen (tour),US-CA-807,7.0,4.387096774193549,18.587155963302752,8.0,100.0,0,82.5,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
91,41,dirty rotten scoundrels (tour),US-CA-807,0.0,12.153846153846152,9.87878787878788,33.0,65.0,1,26.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
92,45,doubt (tour),US-CA-807,86.0,41.30769230769232,36.642857142857146,18.0,84.0,1,80.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
93,49,falsettos (tour),US-CA-807,17.0,6.9230769230769225,10.630630630630632,10.0,85.0,1,88.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
94,51,fiddler on the roof (tour),US-CA-807,0.0,38.6,23.220588235294123,3.0,78.0,1,63.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
95,53,finding neverland,US-CA-807,9.0,9.32,6.822784810126582,4.0,37.0,1,76.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
96,57,fun home,US-CA-807,5.0,15.48,12.379746835443035,4.0,32.0,1,68.25,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
97,59,grease (tour),US-CA-807,52.0,59.115384615384606,41.07142857142857,19.0,77.0,0,56.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
98,62,hair (tour),US-CA-807,43.0,39.8,53.15702479338843,30.0,100.0,0,89.5,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
99,64,hamilton (tour: and peggy),US-CA-807,25.0,22.038461538461537,31.34705882352941,20.0,100.0,0,33.67857142857143,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
100,66,hamilton (tour: angelica),US-CA-807,26.0,22.384615384615387,33.785714285714285,22.0,100.0,0,51.76190476190475,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
101,69,hedwig and the angry inch (tour),US-CA-807,24.0,10.44,6.139130434782609,4.0,36.0,1,84.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
102,72,if/then (tour),US-CA-807,20.0,10.0,9.71830985915493,10.0,34.0,1,69.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
103,74,in the heights (tour),US-CA-807,25.0,16.46153846153846,23.04,10.0,100.0,1,66.2,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
104,77,into the woods (tour),US-CA-807,4.0,2.6666666666666665,4.167741935483871,1.0,100.0,1,21.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
105,81,jersey boys (tour),US-CA-807,0.0,1.8387096774193548,15.274193548387096,1.0,100.0,1,10.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
106,87,kinky boots (tour),US-CA-807,12.0,11.692307692307693,11.986486486486484,4.0,96.0,1,58.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
107,91,legally blonde (tour),US-CA-807,28.0,21.48,7.226277372262772,2.0,38.0,1,13.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
108,94,little women (tour),US-CA-807,43.0,16.923076923076927,22.5,36.0,74.0,1,34.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
109,100,mary poppins (tour),US-CA-807,100.0,61.83333333333334,30.432432432432428,11.0,95.0,0,53.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
110,102,mean girls (tour),US-CA-807,24.0,21.2,22.024193548387093,9.0,100.0,0,12.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
111,105,million dollar quartet (tour),US-CA-807,0.0,18.52,22.389473684210525,20.0,93.0,1,84.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
112,108,miss saigon (tour),US-CA-807,8.0,7.461538461538463,9.733870967741936,3.0,100.0,1,40.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
113,110,movin' out (tour),US-CA-807,0.0,15.615384615384615,16.56451612903226,32.0,100.0,1,43.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
114,114,once (tour),US-CA-807,60.0,59.115384615384606,57.44,33.0,100.0,0,56.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
115,118,peter and the starcatcher (tour),US-CA-807,21.0,8.346153846153848,9.544117647058824,20.0,65.0,1,74.25,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
116,121,pippin (tour),US-CA-807,20.0,14.076923076923075,10.016666666666667,4.0,22.0,1,70.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
117,123,rock of ages (tour),US-CA-807,6.0,6.84,5.781609195402299,3.0,40.0,1,89.8,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
118,125,rodgers + hammerstein's cinderella (tour),US-CA-807,11.0,12.2,15.55921052631579,9.0,100.0,0,21.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
119,129,south pacific (tour),US-CA-807,37.0,30.73076923076923,21.428571428571427,8.0,85.0,1,64.6,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
120,131,spring awakening (tour),US-CA-807,40.0,11.5,14.805194805194805,9.0,78.0,1,76.33333333333333,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
121,136,sweet charity (tour),US-CA-807,50.0,5.884615384615384,8.431034482758621,34.0,72.0,1,83.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
122,140,the 39 steps (tour),US-CA-807,0.0,6.72,12.127906976744184,43.0,88.0,1,50.25,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
123,144,the book of mormon,US-CA-807,19.0,23.29032258064516,23.023474178403763,6.0,98.0,0,61.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
124,147,the book of mormon (tour: jumamosi),US-CA-807,22.0,21.806451612903228,21.211267605633804,4.0,100.0,1,62.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
125,152,the book of mormon (tour: latter day),US-CA-807,19.0,22.30769230769231,17.924242424242426,4.0,79.0,1,24.45454545454545,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
126,156,the color purple (tour),US-CA-807,35.0,41.74193548387097,30.22,11.0,88.0,1,53.27272727272727,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
127,160,the curious incident of the dog in the night-time,US-CA-807,0.0,5.5769230769230775,7.116279069767443,36.0,100.0,1,21.75,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
128,162,the drowsy chaperone (tour),US-CA-807,0.0,6.64,2.145631067961165,12.0,31.0,1,12.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
129,164,the gershwins' porgy and bess (tour),US-CA-807,17.0,8.923076923076922,7.878048780487805,6.0,48.0,1,91.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
130,166,the humans (tour),US-CA-807,72.0,63.08,57.065420560747654,22.0,100.0,0,74.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
131,168,the king and i,US-CA-807,13.0,13.730769230769232,14.246376811594205,7.0,60.0,1,77.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
132,169,the last ship (tour),US-CA-807,14.0,32.166666666666664,23.27868852459016,4.0,88.0,0,46.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
133,175,waitress (tour),US-CA-807,17.0,19.15384615384616,19.948275862068964,8.0,50.0,0,86.0,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
134,177,war horse (tour),US-CA-807,6.0,3.6538461538461537,11.74074074074074,2.0,100.0,1,19.5,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
135,179,west side story (tour),US-CA-807,24.0,26.653846153846153,15.8,6.0,46.0,1,78.6,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
136,181,wicked (tour: emerald city),US-CA-807,16.0,18.733333333333334,26.744565217391305,10.0,100.0,0,39.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
137,186,wicked (tour: munchkinland),US-CA-807,27.0,24.0,27.09790209790209,11.0,100.0,0,36.0,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
138,188,wicked (tour: san francisco),US-CA-807,22.0,21.33333333333333,28.1896551724138,16.0,100.0,0,26.78947368421053,CA,California,West,Pacific,59,1,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
139,193,young frankenstein (tour),US-CA-807,33.0,35.07692307692308,16.68548387096774,13.0,69.0,1,53.5,CA,California,West,Pacific,59,0,San Francisco-Oakland-San Jose CA,110.0,52.0,48.0
140,4,a chorus line (tour),US-CA-825,45.0,18.423076923076927,4.048192771084337,29.0,38.0,1,62.0,CA,California,West,Pacific,59,0,San Diego CA,105.0,56.0,44.0
141,7,aladdin (tour),US-CA-825,30.0,32.666666666666664,35.482142857142854,24.0,100.0,0,78.0,CA,California,West,Pacific,59,1,San Diego CA,105.0,56.0,44.0
142,10,all shook up (tour),US-CA-825,0.0,3.8461538461538463,1.5865384615384617,44.0,70.0,1,93.0,CA,California,West,Pacific,59,0,San Diego CA,105.0,56.0,44.0
143,21,avenue q (tour),US-CA-825,0.0,4.307692307692308,10.650887573964496,16.0,100.0,1,70.2,CA,California,West,Pacific,59,1,San Diego CA,105.0,56.0,44.0
144,32,charlie and the chocolate factory (tour),US-CA-825,32.0,31.92,38.361702127659576,20.0,100.0,1,85.0,CA,California,West,Pacific,59,1,San Diego CA,105.0,56.0,44.0
145,39,dear evan hansen (tour),US-CA-825,8.0,5.384615384615384,11.4421768707483,5.0,55.0,1,98.5,CA,California,West,Pacific,59,0,San Diego CA,105.0,56.0,44.0
